1	1	980	233	1122	295	980	1034	0.158	0.158
2	0	834	247	1029	308	834	933	0.281	null
3	1	933	262	1025	454	933	936	-0.257	-0.257
4	1	1064	264	1019	358	1064	939	-0.274	-0.274
5	1	889	199	1068	322	889	975	0.112	0.112
6	1	976	249	1565	407	976	1472	0.701	0.701
7	0	704	175	904	244	704	802	0.287	null
8	1	1112	135	1156	250	1112	1076	-0.078	-0.078
9	0	429	181	643	243	429	530	0.519	null
10	0	281	224	743	440	281	589	1.532	null
11	0	437	226	629	274	437	519	0.53	null
12	0	439	242	663	361	439	550	0.33	null
13	0	855	221	751	261	855	667	-0.415	null
14	0	636	254	741	279	636	642	0.169	null
15	0	446	151	493	229	446	394	-0.373	null
16	0	409	149	625	144	409	511	0.746	null
17	0	574	202	699	183	574	598	0.376	null
18	0	495	210	597	193	495	496	0.353	null
19	0	294	110	438	232	294	311	-0.313	null
20	0	238	182	375	220	238	242	0.192	null
21	0	301	112	400	199	301	279	-0.386	null
22	0	350	103	456	252	350	341	-0.627	null
23	1	641	133	932	207	641	823	0.486	0.486
24	1	1221	190	1286	369	1221	1211	-0.135	-0.135
25	1	494	179	749	305	494	636	0.365	0.365
26	0	788	215	945	332	788	848	0.066	null
27	1	1405	189	1256	450	1405	1190	-0.558	-0.558
28	1	1333	261	1187	360	1333	1118	-0.343	-0.343
29	1	435	262	1216	400	435	1063	2.109	2.109
30	1	668	216	1871	425	668	1739	1.693	1.693
31	1	275	207	1728	373	275	1498	4.136	4.136
32	1	394	184	1773	229	394	1584	2.839	2.839
33	0	536	204	639	259	536	539	0.054	null
34	0	702	292	858	458	702	758	-0.149	null
35	1	561	188	1544	365	561	1401	1.648	1.648
36	1	780	199	2284	282	780	2165	1.826	1.826
37	0	763	216	769	276	763	678	-0.208	null
38	0	646	151	529	220	646	446	-0.8	null
39	1	619	182	824	248	619	718	0.333	0.333
40	1	770	164	763	164	770	673	-0.045	-0.045
41	0	454	196	514	197	454	414	0.094	null
42	0	405	149	458	173	405	354	-0.072	null
43	0	393	177	567	247	393	454	0.324	null
44	0	364	156	459	190	364	347	0.061	null
45	0	482	116	519	153	482	423	-0.135	null
46	0	801	179	782	229	801	693	-0.203	null
47	0	621	133	596	201	621	506	-0.401	null
48	1	830	204	725	359	830	640	-0.851	-0.851
49	0	441	165	609	246	441	501	0.226	null
50	0	566	215	682	322	566	581	-0.104	null
