1	816	1331	192	319	624	1012	199	324	81	81	1.692	208	1255	1.318	.913	61	77	84	100	0	3990	956	3033	4.861	.206	2.281
2	681	1548	186	331	495	1217	192	341	75	79	2.812	208	1177	1.773	.881	61	77	106	122	0	4640	992	3648	7.369	.136	2.882
3	636	1354	184	341	452	1013	190	354	71	73	2.642	208	1193	1.582	.881	61	77	129	145	0	4058	1022	3036	6.718	.149	2.748
4	641	1324	179	343	462	981	183	353	68	74	2.836	208	1176	1.441	.851	61	77	152	168	0	3969	1028	2940	6.365	.157	2.67
5	531	1066	169	346	362	720	175	354	62	69	3.225	208	1177	1.232	.848	61	77	174	190	0	3195	1037	2158	5.962	.168	2.576
6	464	969	167	350	297	619	170	355	55	75	3.46	208	1190	1.121	.771	60	76	197	213	0	2904	1049	1855	6.247	.16	2.643
7	331	452	171	360	160	92	174	365	24	14	.704	177	1183	.464	.827	61	76	220	235	0	1355	1079	276	1.723	.58	.785
8	271	439	169	361	102	78	174	367	25	15	.938	177	1212	.541	.744	61	76	243	258	0	1316	1082	234	2.292	.436	1.197
9	350	455	166	365	184	90	170	373	25	14	.641	177	1205	.47	.844	61	76	265	280	0	1364	1094	270	1.466	.682	.552
10	317	3510	166	374	151	3136	167	390	29	79	24.52	208	1173	7.431	.698	60	76	287	303	0	10521	1121	9400	62.25	.016	5.96
11	405	5194	168	383	237	4811	168	396	29	80	30.71	208	1160	7.784	.768	60	76	309	325	0	15568	1148	14420	60.846	.016	5.927
12	349	903	171	396	178	507	172	405	22	69	6.188	208	1272	1.12	.811	58	74	332	348	0	2707	1187	1520	8.537	.117	3.094
13	321	501	170	408	151	93	171	410	32	14	.833	156	1231	.475	.813	61	75	360	374	0	1502	1223	279	1.846	.542	.884
14	309	490	171	420	138	70	172	421	28	12	.727	156	1167	.379	.773	61	75	378	392	0	1469	1259	210	1.52	.658	.604
15	315	507	175	440	140	67	176	444	30	12	.596	156	1217	.398	.67	61	75	400	414	0	1520	1319	201	1.434	.697	.521
16	223	470	177	457	46	13	182	461	22	3	.632	156	1318	.322	.398	59	73	423	437	0	1409	1370	39	.847	1.181	-.239
17	220	484	174	450	46	34	182	456	25	5	1	156	1298	.44	.509	61	75	445	459	0	1451	1349	102	2.215	.451	1.148
18	286	537	173	454	113	83	176	458	26	12	.926	156	1297	.502	.773	61	75	468	482	0	1610	1361	249	2.202	.454	1.139
19	247	519	172	469	75	50	176	470	26	10	.714	156	1369	.432	.642	61	75	490	504	0	1556	1406	150	1.998	.5	.999
20	394	393	191	313	203	80	194	316	33	19	.487	156	1265	.343	.794	82	96	84	98	0	1178	938	240	1.181	.847	.24
21	511	472	188	326	323	146	192	329	29	21	.738	156	1188	.395	.815	82	96	107	121	0	1415	977	438	1.355	.738	.438
22	502	499	182	330	320	169	183	332	32	22	.647	156	1162	.493	.889	82	96	129	143	0	1496	989	507	1.583	.632	.663
23	283	400	175	329	108	71	177	331	24	18	.889	156	1154	.401	.674	82	96	152	166	0	1199	986	213	1.971	.507	.979
24	256	362	169	332	87	30	175	335	24	8	.469	156	1166	.272	.592	82	96	174	188	0	1085	995	90	1.034	.968	.048
25	1174	591	170	339	1004	252	181	342	86	34	.25	208	1182	.262	.921	80	96	198	214	0	1771	1016	755	.752	1.329	-.411
26	1641	623	170	345	1471	278	177	351	73	44	.208	177	1160	.18	.879	79	94	222	237	0	1867	1034	833	.566	1.765	-.82
27	1049	570	164	350	885	220	176	354	72	33	.264	177	1173	.238	.826	81	96	244	259	0	1709	1049	659	.745	1.342	-.424
28	1910	726	161	357	1749	369	171	361	79	40	.169	177	1121	.203	.799	81	96	267	282	0	2176	1070	1106	.632	1.581	-.661
29	1008	678	165	366	843	312	169	371	68	36	.382	177	1106	.37	.932	81	96	289	304	0	2032	1097	935	1.109	.901	.15
30	728	534	168	374	560	160	172	377	67	32	.319	177	1127	.295	.879	81	96	312	327	0	1601	1121	480	.856	1.168	-.224
31	504	560	168	385	336	175	172	389	53	31	.556	177	1187	.516	.885	79	94	334	349	0	1679	1154	525	1.561	.641	.643
32	761	785	168	399	593	386	171	406	73	40	.623	177	1153	.651	.906	81	96	357	372	0	2353	1196	1157	1.951	.513	.964
33	649	695	172	416	477	279	174	424	68	38	.596	177	1090	.59	.922	81	96	379	394	0	2083	1247	836	1.753	.57	.81
34	554	579	178	437	376	142	180	446	55	27	.44	177	1137	.373	.866	79	94	400	415	0	1735	1310	426	1.132	.883	.179
35	1099	717	173	443	926	274	183	450	81	41	.308	156	1207	.27	.871	81	95	422	436	0	2149	1328	821	.887	1.128	-.173
36	981	685	169	438	812	247	178	443	74	35	.268	156	1167	.291	.783	83	97	447	461	0	2053	1313	740	.912	1.097	-.133
