thrA	5.4460	43.592070105
thrB	5.2872	39.047858015
thrC	4.5576	23.549020150
ycbR	4.0582	16.658173185
b0005	3.5977	12.106100200
ilvB	3.5712	11.886012300
hisG	3.0077	8.042797020
srlE	2.9097	7.514630211
fecI	2.8415	7.167795611
ilvN	2.6084	6.098459603
narG	2.5545	5.874802443
ilvC	2.3675	5.160515968
deoR	2.3486	5.093245334
yfiA	2.2661	4.810049523
ybjZ	2.1999	4.594593268
rep	2.1913	4.567225086
hisD	2.1558	4.456108776
b1983	2.0975	4.279727313
ilvG_1	2.0956	4.274110355
b1758	2.0883	4.252593499
yagU	2.0650	4.184438773
ycjS	2.0391	4.109945301
ptsA	2.0347	4.097314567
ftn	1.9947	3.985379257
ytfM	1.9764	3.935208195
b1200	1.9537	3.873692420
ytfH	1.9181	3.779188285
ytfE	1.8852	3.694049843
ilvD	1.8812	3.683805559
nirB	1.8763	3.671411772
b2433	1.8455	3.593720219
b0298	1.7944	3.468749431
nikD	1.7869	3.450613582
yggU	1.7611	3.389580104
narK	1.7488	3.360841467
prfH	1.7427	3.346529593
yajR	1.7401	3.340586254
tnaB	1.6845	3.214301843
yaaA	1.6631	3.166955566
yjgQ	1.6629	3.166582099
gatY	1.6182	3.069863109
ansP	1.6022	3.036043042
ynaF	1.5820	2.993754912
yigJ	1.5807	2.991173489
feoA	1.5624	2.953366424
lacZ	1.5021	2.832519102
iadA	1.4865	2.801990966
marA	1.4430	2.718906101
ompF	1.4233	2.682052283
yphC	1.3751	2.593828577
acrF	1.3475	2.544655006
hycD	1.3200	2.496635104
grxA	1.2900	2.445265640
yaaJ	1.2814	2.430727794
fliE	1.2406	2.362997945
yifM_2	1.2337	2.351765171
fepD	1.2136	2.319236085
aer	1.2111	2.315146100
yjiT	1.1800	2.265785551
mrsA	1.1667	2.244913134
acs	1.1585	2.232319259
aceB	1.1584	2.232056344
b1121	1.1561	2.228504121
nfrB	1.1527	2.223281637
prpD	1.1451	2.211687572
yaeJ	1.1440	2.209968623
yjcH	1.1439	2.209752540
yfdM	1.1414	2.205964716
sgaB	1.0906	2.129581640
ackA	1.0813	2.115960218
nrfA	1.0793	2.113077075
b3814	1.0726	2.103163057
b2362	1.0519	2.073267824
tldD	1.0476	2.067030150
