CUST_9280_PI245939919	7.529	1965	52270	50	65535	63253	7616	12	150	150	760	1869	245	100	100	86	421	409	103	25	67	67	71	18	25	100	100	0	184.703	184.512	183.511	192.455	1.325	186.604	0.829	80	92	100	65739	63445	7.529	65385	354	63103	342	5060208	32748	33.437	18.778	0	0	0
CUST_9281_PI245939919	7.12	3870	57860	50	65535	60021	13434	22	168	168	1371	3417	249	100	100	77	538	508	149	29	68	68	70	16	22	100	100	0	139.079	136.03	135.335	143.097	1.376	138.158	0.851	80	116	100	65837	60293	7.12	65367	470	59853	440	4801680	40621	17.164	27.375	0	0	0
CUST_9279_PI245939919	6.173	7900	59385	50	22840	19735	8642	43	105	105	242	390	161	95	93	0	384	359	149	41	69	69	73	20	27	91	90	0	72.175	67.69	69.946	69.317	1.683	72.287	0.816	80	92	100	23050	19920	6.173	22735	315	19630	290	1578760	28750	49.982	14.3	0	0	0
CUST_6290_PI245939919	6.111	5740	58810	50	16267	14293	5332	37	94	94	129	169	131	100	100	0	302	294	85	28	68	68	71	16	22	98	98	0	69.115	62.827	62.865	58.827	1.628	71.959	0.804	80	92	100	16407	14425	6.111	16173	234	14199	226	1143433	23496	83.811	13.938	0	0	0
CUST_6289_PI245939919	6.071	3725	56460	50	17117	15874	4987	31	107	107	135	137	101	100	100	0	321	315	90	28	68	68	70	18	25	100	100	0	67.233	63.834	63.742	62.901	1.475	69.552	0.829	80	92	100	17263	16014	6.071	17010	253	15767	247	1269946	25169	114.883	13.611	0	0	0
CUST_9282_PI245939919	5.927	1085	54810	50	10726	10217	2662	26	76	76	89	54	60	100	100	0	250	255	57	22	75	75	76	18	23	100	100	0	60.857	56.339	55.915	56.376	1.439	63.221	0.797	80	312	100	10825	10321	5.927	10650	175	10141	180	817334	20407	187.556	9.944	0	0	0
CUST_9283_PI245939919	5.876	6180	60210	50	12710	11831	3774	31	86	86	118	114	96	100	100	0	281	276	86	31	66	66	72	18	25	97	95	0	58.716	55.929	57.632	57.301	1.456	57.944	0.823	80	92	100	12839	11955	5.876	12624	215	11745	210	946497	22084	102.746	11.333	0	0	0
CUST_9278_PI245939919	5.813	3905	57795	50	25005	22699	9253	40	160	160	968	2800	289	92	88	0	511	482	155	32	69	69	69	16	23	98	97	0	56.21	54.574	53.767	50.058	1.539	60.533	0.874	80	116	100	25287	22952	5.813	24845	442	22539	413	1815904	38565	7.761	25.813	0	0	0
CUST_6317_PI245939919	5.686	6400	55130	50	8790	8416	1841	21	90	90	96	47	48	100	100	0	241	248	61	24	72	72	72	16	22	100	100	0	51.479	47.307	46.404	48.973	1.509	50.655	0.759	80	92	100	8869	8502	5.686	8700	169	8326	176	673296	19853	177.021	11	0	0	0
CUST_9276_PI245939919	5.685	5045	55700	50	15834	15073	3123	20	89	89	104	58	55	100	100	0	377	371	85	22	71	71	72	17	23	100	100	0	51.454	49.947	48.795	51.02	1.401	52.679	0.848	80	116	100	16051	15284	5.685	15745	306	14984	300	1205814	29666	258.086	17.588	0	0	0
